校下・地区,センター,燃やすごみ,燃やさないごみ,資源,あきびん
高崎山荘通り,西部清掃事業所,火 金,月3,月2 月4,水1
にじが丘,西部清掃事業所,火 金,月3,月2 月4,水1

八幡,西部清掃事業所,火 金,木4,木1 木3,水2
大久保,西部清掃事業所,火 金,木4,木1 木3,水2
金谷迫,西部清掃事業所,火 金,木4,木1 木3,水2
上白木,西部清掃事業所,火 金,木4,木1 木3,水2
上八幡,西部清掃事業所,火 金,木4,木1 木3,水2
机張原,西部清掃事業所,火 金,木4,木1 木3,水2
下白木,西部清掃事業所,火 金,木4,木1 木3,水2
下白木の一部,西部清掃事業所,火 金,木4,木1 木3,水2
下八幡,西部清掃事業所,火 金,木4,木1 木3,水2
田ノ浦,西部清掃事業所,火 金,木4,木1 木3,水2
鳴川,西部清掃事業所,火 金,木4,木1 木3,水2
東八幡,西部清掃事業所,火 金,木4,木1 木3,水2
御幸,西部清掃事業所,火 金,木4,木1 木3,水2
御幸の一部,西部清掃事業所,火 金,木4,木1 木3,水2	
		
豊府,西部清掃事業所,火 金,水2,月1 月3,水4
上田町,西部清掃事業所,火 金,水2,月1 月3,水4
花園,西部清掃事業所,火 金,水2,月1 月3,水4
羽屋,西部清掃事業所,火 金,水2,月1 月3,水4
羽屋新町,西部清掃事業所,火 金,水2,月1 月3,水4
広瀬町,西部清掃事業所,火 金,水2,月1 月3,水4
古国府,西部清掃事業所,火 金,水2,月1 月3,水4
古国府の一部	,西部清掃事業所,火 金,水2,月1 月3,水4
古国府東,西部清掃事業所,火 金,水2,月1 月3,水4
南太平寺,西部清掃事業所,火 金,水2,月1 月3,水4
		
南大分,西部清掃事業所,月 木,金4,金1 金3,水2
明磧,西部清掃事業所,月 木,金4,金1 金3,水2
旭町,西部清掃事業所,月 木,金4,金1 金3,水2
尼ケ瀬,西部清掃事業所,月 木,金4,金1 金3,水2
田中,西部清掃事業所,月 木,金4,金1 金3,水2
畑中,西部清掃事業所,月 木,金4,金1 金3,水2
二又,西部清掃事業所,月 木,金4,金1 金3,水2
豊饒,西部清掃事業所,月 木,金4,金1 金3,水2
三ケ田町,西部清掃事業所,月 木,金4,金1 金3,水2
	
城南,西部清掃事業所,月 木,火2,火1 火3,水4
城南団地北,西部清掃事業所,月 木,火2,火1 火3,水4
城南団地西,西部清掃事業所,月 木,火2,火1 火3,水4
城南団地東,西部清掃事業所,月 木,火2,火1 火3,水4
城南団地南,西部清掃事業所,月 木,火2,火1 火3,水4
庄の原,西部清掃事業所,月 木,火2,火1 火3,水4
竹の上,西部清掃事業所,月 木,火2,火1 火3,水4
はなの森,西部清掃事業所,月 木,火2,火1 火3,水4
永興,西部清掃事業所,月 木,火2,火1 火3,水4	

荏隈,西部清掃事業所,火 金,月4,月1 月3,水2
荏隈町,西部清掃事業所,火 金,月4,月1 月3,水2
大石町,西部清掃事業所,火 金,月4,月1 月3,水2
賀来新川,西部清掃事業所,火 金,月4,月1 月3,水2
ツインプラザ大分,西部清掃事業所,火 金,月4,月1 月3,水2
中の瀬団地,西部清掃事業所,火 金,月4,月1 月3,水2
深河内,西部清掃事業所,火 金,月4,月1 月3,水2
深河内の一部,西部清掃事業所,火 金,月4,月1 月3,水2	
	
滝尾,西部清掃事業所,火 金,月2,月1 月3,水4
赤坂タウン,西部清掃事業所,火 金,月2,月1 月3,水4
片島上,西部清掃事業所,火 金,月2,月1 月3,水4
片島下,西部清掃事業所,火 金,月2,月1 月3,水4
かたしま台,西部清掃事業所,火 金,月2,月1 月3,水4
片島中,西部清掃事業所,火 金,月2,月1 月3,水4
加納,西部清掃事業所,火 金,月2,月1 月3,水4
北下郡下,西部清掃事業所,火 金,月2,月1 月3,水4
北下郡下の一部,西部清掃事業所,火 金,月2,月1 月3,水4
桜坂,西部清掃事業所,火 金,月2,月1 月3,水4
津守上,西部清掃事業所,火 金,月2,月1 月3,水4
津守下,西部清掃事業所,火 金,月2,月1 月3,水4
富岡,西部清掃事業所,火 金,月2,月1 月3,水4
長谷町,西部清掃事業所,火 金,月2,月1 月3,水4
羽田上,西部清掃事業所,火 金,月2,月1 月3,水4
羽田下,西部清掃事業所,火 金,月2,月1 月3,水4
羽田下の一部,西部清掃事業所,火 金,月2,月1 月3,水4
羽田東,西部清掃事業所,火 金,月2,月1 月3,水4
藤の台,西部清掃事業所,火 金,月2,月1 月3,水4
芳河原,西部清掃事業所,火 金,月2,月1 月3,水4
曲上,西部清掃事業所,火 金,月2,月1 月3,水4
曲下,西部清掃事業所,火 金,月2,月1 月3,水4
南下郡上,西部清掃事業所,火 金,月2,月1 月3,水4
南下郡下,西部清掃事業所,火 金,月2,月1 月3,水4
南下郡東,西部清掃事業所,火 金,月2,月1 月3,水4
米良上,西部清掃事業所,火 金,月2,月1 月3,水4
米良下,西部清掃事業所,火 金,月2,月1 月3,水4
ゆめが丘,西部清掃事業所,火 金,月2,月1 月3,水4
	
津留,東部清掃事業所,月 木,水1,火2 火4,水3
今津留,東部清掃事業所,月 木,水1,火2 火4,水3
